	cy53	cy58	cy59	cy60	cy65	cy67	cy71	cy72	cy74	cy75	cy78	cy79	cy80	cy81	cy82	cy84	cy88	cy89	cy94
RMSE	70.12839417572789	78.4102153931718	114.03220556677601	70.9244402940633	82.5799702471082	75.09869440836498	85.05946068250171	73.80738123299159	81.1195319290283	76.4883607856764	110.77805986371901	91.10510632560309	74.2915402458935	83.55199916330392	76.34831437233791	72.3039090283138	76.0791416350839	82.47087559116879	70.36350342573348
Mast_cells	13.4004049270813	2.0828266441654	40.0850749849161	3.52774904382537	0.630087944346873	0.0	0.21160663690375695	0.0	3.49237434403152	1.70224472971388	0.0	1.24465356361429	2.7030266281787996	0.0	10.8726020055884	17.2803037327318	2.69202091161523	2.82849662398732	0.0
NK_cells	25.95764528279212	10.731867802491	2.3904481246303897	12.685870602979099	0.754315148953084	0.503533064984814	7.49117655885419	2.1899386872441697	16.099492588978194	4.574355279653241	3.10827405046233	5.25953451506793	10.6335465862688	14.067137530624402	11.1067226174374	10.735764245650806	9.60096514748548	10.1611631939274	0.567716331974261
B_cells	1.7116847257106298	1.25445256447198	1.42978165767248	32.27502892143178	5.051278523435606	15.444881307667064	1.25116420012483	22.740774379185552	1.354813418750784	0.7129426769813461	50.939118702535744	6.964805087683609	7.59904988155954	3.740532512382183	3.934450320747235	12.462526790169408	11.597508272844	16.874968287478982	36.728278989977824
CD4_T_cells	14.375175363263367	16.26655880361213	22.52625732783712	21.599840693299328	22.76009905808393	25.669396577127408	31.31892614932611	48.96127902916342	20.239364412167852	18.42352934371767	29.040072206546803	15.342924603201638	33.053758940046094	22.739698798188318	25.065008731999704	16.597331331507895	20.0795542364977	15.939401790064748	44.358580813271644
T_cells	52.278078460848796	81.40975247209812	22.52625732783712	47.869843505650536	90.35994819578423	79.84696155788453	86.58615671578931	71.98196281149689	75.91648218691066	91.26425860872827	29.90945690540193	84.84111005210212	76.08586224895552	81.50947967629241	69.63921516790681	49.992049798728104	64.1395212443004	62.47999490710738	58.580409312801635
Non_plasma_B_cells	1.7116847257106298	0.0	1.42978165767248	29.068295365108398	5.051278523435606	15.081566496312696	1.25116420012483	22.740774379185552	0.776324545194745	0.0	48.3113155238912	5.9584887466354095	7.59904988155954	3.5457119331427105	2.9467260748952597	11.737564881559482	6.65252197980101	14.59427138469404	36.728278989977824
Macrophages	2.30925729998	2.70282887983328	14.101797881263499	2.3533767911266104	1.060590301875735	0.23015501355369103	0.987524631224054	0.8532669905176309	1.7756633971558702	0.8012247487312719	3.7179795420092403	0.4960592693247294	1.5309586149459955	0.031995483961045595	1.0019784688255815	0.37299981138784605	10.444922764828377	2.004133848967462	0.986879526028201
Dendritic_cells	0.8069067045347929	0.8613465984373782	16.4796108748392	0.8511859851270358	1.226686062953365	3.014058544965	1.384073757130563	1.42067972815546	0.6239625627211034	0.4005252214106701	2.547180445810716	0.3995274383434939	0.694065408613854	0.6508547967400239	1.18142613071789	0.619395777213031	0.966786072511788	0.7675981868813381	1.25871944778979
Lymphocytes	79.94740846935154	93.39607283906106	26.346487110139993	92.83074303006144	96.16554186817294	95.79537593053641	95.32849747476835	96.9126758779266	93.37078819463964	96.55155656536283	83.95684965840002	97.0654496548537	94.31845871678385	99.317149719299	84.68038810609144	73.19034083454831	85.33799466462987	89.51612638851377	95.87640463475373
