	BT1160	BT1187	BT749	BT771	BT786	BT830	BT85	BT920	MGH100	MGH101	MGH102	MGH104	MGH105	MGH106	MGH110	MGH113	MGH115	MGH121	MGH122	MGH124	MGH125	MGH128	MGH129	MGH136	MGH143	MGH151	MGH152	MGH66
P-value	82.0	0.0	50.0	20.0	28.000000000000004	72.0	92.0	2.0	70.0	10.0	0.0	74.0	26.0	2.0	12.0	22.0	34.0	46.0	2.0	2.0	2.0	80.0	48.0	86.0	72.0	64.0	70.0	34.0
Correlation	-1.3901387672239098	43.3208090468363	0.8496939697712169	8.12329126845716	5.38548462781379	-0.651579748347776	-2.9707297854317796	19.230124836201302	-0.3834693865489121	14.178588717778098	39.3081920722012	-1.01057345892115	5.68469079496846	20.990043202462804	13.107653886445698	7.0965165328267785	4.41203936351416	1.59665851100346	19.085689456373107	21.8099869951846	22.685984199697604	-1.34250672946722	1.12638657671428	-1.6966063383272498	-0.665570165929332	-0.00030492814769307597	-0.477718540352503	4.1009378610690295
RMSE	114.734799701374	90.07281678460829	108.18358002226098	128.020865692036	107.83837047290798	110.59461607850001	114.87799105806398	105.915735871712	111.62428050273998	106.669001114154	92.9301885073818	107.586639832765	114.069325514128	109.317574548248	108.467960962571	115.20029115097401	111.38282501153702	108.62762289778	115.917946937299	107.04256984373902	100.369523484215	109.03770756899598	110.563735912512	111.33469607126601	107.09302921027901	114.14039351808998	111.355599427171	107.471090968793
CD4_T_cells	41.64898912772264	11.75786664344075	37.32240528748865	4.37400543586516	43.443408256672605	36.5310966013824	35.2254808487329	8.90305275744263	33.5766361730776	17.938262109984827	13.975862911504159	32.2583581835016	15.620811519280961	26.510451962126123	6.508452022311791	22.915837359540337	14.617806820654732	33.85407578923313	11.159750043732819	19.377864593512673	23.34823155372868	28.735161671568488	44.70848027467992	33.56253304401375	27.2407032012254	57.848990581346996	44.166965768125	25.641514286562444
NK_cells	10.980031946349401	3.7022460296231103	1.49576258083111	2.23518291611573	0.140406354584728	4.856844504181519	9.025392928525571	4.09587558652614	6.21207319768136	7.4076428814283295	9.23206351688308	0.0658247166343422	9.34638539692258	13.706849578733602	12.0833068747452	1.48130472371731	7.166877892326469	2.37949547984318	2.2559634516746496	10.6238637688544	6.368386099459809	3.032165525730515	8.087602646963411	0.0	0.519641692237084	18.767306452375102	1.97148623901045	2.33070958967221
B_cells	7.19961842403599	6.7347455511054095	18.930979498361932	0.0	0.916868885376945	17.91151090598227	8.75123893979526	7.808970429588162	0.0	1.87752513848352	0.7353741012225811	48.83429973296929	4.2876407624806605	0.38266366608428704	0.459341601602334	1.930985989626	2.33858087017146	7.229682862027531	8.391515403418161	0.3725219060520097	0.0	14.287554101470116	4.907959936646741	0.0	28.048505367927422	6.6074380827780805	0.525641395201929	16.561918815469113
Dendritic_cells	23.9439206657763	3.005498065463233	14.8629534974667	0.48356422381387204	10.631772860950301	26.474810586158398	23.865122617754	2.9979252306410498	27.6501056769452	0.7205959718529329	0.888257317661088	9.376403026000839	1.3517601189827702	0.0	3.3866365556145097	0.17776186875034197	3.8972229642119096	22.7978738355617	0.888496973846823	0.934410377074955	1.85262024153641	4.86797662774363	21.593510100683304	17.185115089655202	13.996568693951799	0.066946234678316	21.3354988266768	27.722292721818604
Non_plasma_B_cells	7.19961842403599	6.7347455511054095	11.8065397327739	0.0	0.916868885376945	11.061397759706399	8.75123893979526	6.979848972658121	0.0	1.87752513848352	0.7353741012225811	14.964634815098698	4.2876407624806605	0.0	0.102925926667631	1.930985989626	0.0	0.0	8.391515403418161	0.3725219060520097	0.0	0.685664038112716	4.907959936646741	0.0	4.4520579506497215	1.99447398923981	0.525641395201929	8.921396355829481
Macrophages	0.0	25.95095754470136	3.0938252701455897	21.43316328760467	17.661432990728482	12.698059124169701	4.5946666860156204	12.508723009493403	12.7417860332426	29.37250362461605	18.151180818219487	4.90465394984436	14.247611279765055	3.420464773968189	0.5312659919567759	8.941420917052382	24.764221287311226	5.54431207906227	6.9963430151370725	10.159602468235347	28.149341073367058	15.2821105003978	6.90942793735098	12.1313687519645	8.185752906623051	2.1817752584696604	5.95862477727806	10.279762857888905
T_cells	54.84759904364554	17.74438263301657	43.969677751815176	7.087440832586911	51.60324028145604	38.058774879508135	53.323872125241394	11.0715314268709	40.753457379389744	19.38222313284927	17.14556259784274	33.424708969664024	18.47066036615575	78.16703110559003	50.361584049626295	26.3956258214749	16.65272790252923	37.65181389420032	12.236596661626637	21.875447945813374	32.866476372597305	33.30699443118797	48.3017351517153	52.43254295355755	34.58407978797671	59.284016134995355	53.70429934633398	29.49103028456256
Mast_cells	1.5024841321383997	16.588428071874088	15.2976680072055	64.96858429797719	16.3858254181532	0.0	0.0	37.203260758648796	11.649572883099301	27.668171050233198	25.302471787368397	2.71840241626339	37.1354992246823	2.67533660734905	2.24582248811544	44.795403830664796	28.801952349937604	20.321607560082306	60.0056004733685	41.0381983416216	16.2901391128958	26.863665835322102	7.76048452056252	17.100417178523	10.050498591375304	8.55803637109841	14.517762855564998	12.3574868206034
